Warehouse,Name,City,State,Region,Export,Port,ESO,Flat Bed Fees,Late Fees,Transportation Adjust,Misc  Fees,Consol Interest
340017,Staplcotn/Savannah,Savannah,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
340100,"Irwin County Whse, LLC - Tifton",Tifton,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
345008,"Collins Bonded Warehouse, Inc.",Waynesboro,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
347750,Planters Warehouse-Vienna,Vienna,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
349526,Vienna Cotton Co Inc,Vienna,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
349527,West Bonded Warehouse/Dooly Gin,Vienna,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
349529,WSB Gin and Warehouse,Byromville,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
350503,Farmers Gin and Stg Co,Wadley,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
385000,Plains Cotton Cooperative Association,Liberal,KS,WTX,WTX,Dallas,1,1,0.25,0,0,0
385001,Plains Cotton Cooperative Association,Clearwater,KS,WTX,WTX,Dallas,1,1,0.25,0,0,0
400510,Cotton Storage Inc,Alexandria,LA,Memphis Rule 5,MR5,Houston,0,0,0,0,0,0
406505,Cotton Warehouse of Concordia,Ferriday,LA,Memphis Rule 5,MR5,Houston,0,0,0,0,0,0
410020,Hollybrook Warehouse,Lake Providence,LA,Memphis Rule 5,MR5,Houston,0,0,0,0,0,0
413550,"The Kearney Companies, Inc.",New Orleans,LA,Memphis Rule 5,MR5,Houston,0,0,0,0,0,0
413551,The Kearney Company,New Orleans,LA,Memphis Rule 5,MR5,Houston,0,0,0,0,0,0
416010,Staplcotn/Rayville,Rayville,LA,Memphis Rule 5,MR5,Houston,0,0,0,0,0,0
417205,"Tensas Warehouse, Inc.",St. Joseph,LA,Memphis Rule 5,MR5,Houston,0,0,0,0,0,0
418515,Staplcotn/Tallulah Comp Warehouse,Tallulah,LA,Memphis Rule 5,MR5,Houston,0,0,0,0,0,0
420002,Franklin Cotton Warehouse,Winnsboro,LA,Memphis Rule 5,MR5,Houston,0,0,0,0,0,0
466466,Scruggs Farm Warehouse,Saltillo,MS,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
