Warehouse|Name|City|State|ESO|Flat Bed Fees|Late Fees|Transportation Adjust|Misc Fees|Grace Period
596010|Rosemary Bonded Warehouse|Roanoke Rapids|NC||||||
600505|Edwards Bonded Warehouse|Scotland Neck|NC||||||
886506|Farmers Cooperative Compress|Lubbock|TX|1|1|0.25|||3 days
601006|Roanoke Ag Bonded Warehouse|Weldon|NC||||||
602005|Royster PandM Warehouse|Shelby|NC||||||
605515|Edgecombe Bond Warehouse|Tarboro|NC||||||
607540|Roanoke Tar Cotton Warehouse-2-3083|Everetts|NC||||||
607541|Paxton Bonded Storage Firestone|Wilson|NC||||||
611030|Paxton Bonded Warehouse|Wilson|NC||||||
631020|Plains Cotton Cooperative Association|Altus|OK|1|1|0.25|||3 days
676592|General Warehouse and Storage Co|Bennettsville|SC||||||
677503|Cotton Growers Warehouse Inc|Bishopville|SC||||||
682505|Cameron Cotton and Seed Co|Cameron|SC||||||
689560|McInnis Bonded Warehouse|Clio|SC||||||
702530|Elloree Gin Company, Inc.|Elloree|SC||||||
710530|Staple Cotton Cooperative Association|Greer|SC||||||
712575|Humphrey Coker Seed Co., Inc|Hartsville|SC||||||
720600|Humphrey Coker Seed Co-lake City Whse|Lake City|SC||||||
729020|United Bonded Warehouse|Manning|SC||||||
731205|Minturn Bnd Cotton Warehouse|Dillion|SC||||||
735030|Culler Holstein Gin|North|SC||||||
754585|Middling Cotton Co., Inc.|St. Matthews|SC||||||
787010|Hughes Warehouse|Brownsville|TN||||||
787097|Two Way Warehouse|Brownsville|TN||||||
788008|Kelcot Warehouses LLC|Covington|TN||||||
788020|Green Point Ag- was Tn Gin|Covington|TN||||||
789505|Elora Gin Warehouse|Elora|TN||||||
790990|Halls Gin Co Inc|Halls|TN||||||
791730|Humboldt Cotton Warehouse|Humboldt|TN||||||
792025|West Tennessee Warehouse|Jackson|TN||||||
793960|Mallory Cotton Warehouse Division-Memphis|Memphis|TN||||||
793961|Viterra USA-Cotton#1|Memphis|TN||||||
793962|Viterra USA LLC Cotton #2|Memphis|TN||||||
794205|Longtown Warehouse|Mason|TN||||||
794505|Cotton Trade Warehouse (Cargill Whse-Memphis)|Memphis|TN||||||
794540|Memphis Compress Warehouse|Memphis|TN||||||
794550|Producers Warehouse #1|Memphis|TN||||||
794553|Producers Warehouse #3|Memphis|TN||||||
794555|Producers Warehouse #2|Memphis|TN||||||
794560|The Distribution Center|Memphis|TN||||||
794598|River CityWarehouse|Memphis|TN||||||
795005|Milan Compress Warehouse|Milan|TN||||||
795007|Total Commodity Warehouse|Memphis|TN||||||
795026|International Cotton Depots Plant 4|Memphis|TN||||||
797660|Oak Grove Gin and Warehouse LLC|Somerville|TN||||||
810001|FCC-High Plains Division Amarillo|Amarillo|TX|1|1|0.25|||3 days
810002|Amarillo Cotton Warehouse|Amarillo|TX||||||
810003|Amarillo Cotton Warehouse|Amarillo|TX||||||
810535|Amarillo Cotton Warehouse|Amarillo|TX||||||
810537|City Gin Cotton Warehouse, LLC|Abernathy|TX||||||
810538|Amarillo Cotton Warehouse|Amarillo|TX||||||
819202|Cargill Cotton Baytown|Baytown|TX||||||
820010|Ballinger Cotton Warehouse Co.|Ballinger|TX||||||
828031|Brownfield Compress|Brownfield|TX||||||
829535|Taylor Compress #2 Bryan|Bryan|TX||||||
829537|Plains Cotton Cooperative Assoc|Big Spring|TX|1|1|0.25|||3 days
840509|Gulf Compress|Sweetwa-GULF|TX|1|1||||
840510|Gulf Compress Unit #4|Portland|TX|1|1||||
840512|Gulf Compress #1|Corpus Christi|TX|1|1||||
840513|Gulf Compress #2|Corpus Christi|TX|1|1||||
840516|Gulf Compress #10|Taylor|TX|1|1||||
843000|Suncot Warehouse, LLC|Denver City|TX||||||
843002|East Centre Park Cotton Warehouse|Desoto|TX||||||
846847|Olam dba Anderson Clayton - Dallas TX Warehouse #1|Dallas|TX||||||
848548|United Agricultural Cooperative, Inc. Cotton Warehouse|El Campo|TX||||||
853007|Ft Worth Commodity Warehouse|Ft Worth|TX||||||
858053|Moody Compress and Warehouse #1|Galveston|TX||||||
858054|Moody Compress and Warehouse #2|Galveston|TX||||||
858055|Moody Compress and Warehouse #3|Galveston|TX||||||
858056|Moody Compress and Warehouse #4|Galveston|TX||||||
858063|Moody Compress and Warehouse #6|Houston|TX||||||
858065|Southern Comp and Warehouse Co.|Galveston|TX||||||
858078|Glasscock County Co-Op Cotton Warehouses|Garden City|TX||||||
866503|Harlingen Compress Company|Harlingen|TX||||||
866505|Valley Compress Company|Harlingen|TX||||||
867017|Haskell Cotton Warehouse|Stamford|TX||||||
871048|Houston Commodity Warehouse|Houston|TX||||||
871049|Houston Commodity Warehouse #2|Houston|TX||||||
875260|Supply Chain Management- Desoto|Desoto|TX||||||
880533|Lamesa Warehouse|Lamesa|TX||||||
882008|FCC-Levelland Plant|Levelland|TX||||||
884033|HCC-Lockney Warehouse|Lockney|TX||||||
136015|Farmers First Gin Company|Dell|AR|1|1|0.25|||3 days
304501|Farmers Gin and Peanut Warehouse|Moultrie|GA||||||
350503|Farmers Gin and Stg Co|Wadley|GA||||||
601004|Farmers Peanut Bonded Warehouse|Seaboard|NC||||||
548900|Mesa Farmers Cooperative Inc|Vado|NM||||||
886533|Lubbock Compress|Lubbock|TX||||||
886570|Lov-Cot Warehouse, L.P.|Lubbock|TX||||||
886623|Mallory Alexander International Logistics-Laredo|Laredo|TX||||||
898030|CIL- Prev-Colimar Inc|Weslaco|TX||||||
904033|O'Donnell Warehouse|O'donnell|TX||||||
906015|Panhandle Compress Co.|Paducah|TX||||||
911510|Panhandle Compress|Plainview|TX||||||
911520|Plainview Cooperative Compress #7|Plainview|TX||||||
