Warehouse,Region,Export,Port,Name,City,State,ESO,Flat Bed Fees,Late Fees,Transportation Adjust,Misc Fees,Grace Period
309100,GA 30 Day,ER5,Savannah,Osceola Cotton Company LLC E 1st st,Ocilla,GA,,,,,,
309509,GA 30 Day,ER5,Savannah,"Irwin County Warehouse, LLC- Omega",Omega,GA,,,,,,
310516,GA 30 Day,ER5,Savannah,Osceola Cotton Warehouse,Ocilla,GA,,,,,,
311000,GA 30 Day,ER5,Savannah,Savannah Distribution Center,Port Wentworth,GA,,,,,,
313010,GA 30 Day,ER5,Savannah,Pinecliff Planters Warehouse,Camilla,GA,,,,,,
313023,GA 30 Day,ER5,Savannah,"The Southern Gin Co, Inc",Pelham,GA,,,,,,
313510,GA 30 Day,ER5,Savannah,Planters Warehouse/Pinehurst,Pinehurst,GA,,,,,,
314006,GA 30 Day,ER5,Savannah,Pinecliff Peanut and Grain Inc,Pelham,GA,,,,,,
316751,GA 30 Day,ER5,Savannah,Supply chain Management-Rincon,Rincon,GA,,,,,,
326202,GA 30 Day,ER5,Savannah,Coffee County Gin co -Statesboro,Statesboro,GA,,,,,,
331015,GA 30 Day,ER5,Savannah,The Peoples Warehouse,Shellman,GA,,,,,,
333503,GA 30 Day,ER5,Savannah,Southern States Coop,Statesboro,GA,,,,,,
335533,GA 30 Day,ER5,Savannah,Tri County Gin Company,Taylorsville,GA,,,,,,
337525,GA 30 Day,ER5,Savannah,"Southeastern Gin, Inc.",Surrency,GA,,,,,,
339007,GA 30 Day,ER5,Savannah,Sconyers Gin and Warehouse,Sycamore,GA,,,,,,
339733,GA 30 Day,ER5,Savannah,Screven Gin Co.,Sylvania,GA,,,,,,
340015,GA 30 Day,ER5,Savannah,"Worth Gin & Whse, Inc",Sylvester,GA,,,,,,
340017,GA 30 Day,ER5,Savannah,Staplcotn/Savannah,Savannah,GA,,,,,,
340100,GA 30 Day,ER5,Savannah,"Irwin County Whse, LLC - Tifton",Tifton,GA,,,,,,
345008,GA 30 Day,ER5,Savannah,"Collins Bonded Warehouse, Inc.",Waynesboro,GA,,,,,,
347750,GA 30 Day,ER5,Savannah,Planters Warehouse-Vienna,Vienna,GA,,,,,,
349526,GA 30 Day,ER5,Savannah,Vienna Cotton Co Inc,Vienna,GA,,,,,,
349527,GA 30 Day,ER5,Savannah,West Bonded Warehouse/Dooly Gin,Vienna,GA,,,,,,
349529,GA 30 Day,ER5,Savannah,WSB Gin and Warehouse,Byromville,GA,,,,,,
886512,GA 30 Day,ER5,Savannah,Farmers Coop Compress #3,Lubbock,TX,1,1,0.25,,,3 days
385000,WTX,WTX,Dallas,Plains Cotton Cooperative Association,Liberal,KS,1,1,0.25,,,3 days
385001,WTX,WTX,Dallas,Plains Cotton Cooperative Association,Clearwater,KS,1,1,0.25,,,3 days
