Warehouse	City	State	Name	County	Terms	Verified	Points	Recv	Strg	Load	Compr	Class	Mark	EffDate	Bales	Rail	ICE Ref	Capacity	CertLoad	CertCompr	CertMark	CertRecv	CertStrg	CertClass	Min Storage	Basis Adj.
298007	Midville	GA	"Midville Warehouse, Inc."	Burke                	4	Yes	0.018	2.5	2	4.5	0	0	0	6/29/2025	51	no			0	0	0	0	0	0	0	
298008	Midville	GA	Riverside Gin and Storage	Burke                	4	Yes	0.024	3	3	6	0	0	0	7/10/2025	71	no			0	0	0	0	0	0	0	
301535	Unadilla	GA	Trico Gin and Peanut Inc	Macon                	4	Yes	0.026	4	3	6	0	0	0	5/1/2025	0	no			0	0	0	0	0	0	0	
304495	Moultrie	GA	B.C.T. Gin Company Inc	Colquitt             	4	Yes	0.0065	0	2.5	0	0	0	0.75	6/12/2025	0	no			0	0	0	0	0	0	0	
304500	Doerun	GA	Doerun Gin Company Warehouse	Colquitt             	4	Yes	0.0252	3	2.6	5	0	0	2	8/1/2025	0	no			0	0	0	0	0	0	0	
304501	Moultrie	GA	Farmers Gin and Peanut Warehouse	Colquitt             	4	Yes	0.026	3	0.1	5	0	0	2	9/1/2025	0	no			0	0	0	0	0	0	0	
304552	Millen	GA	"Mundy, Inc."	Jenkins              	4	Yes	0.0269	3.5	3.85	5	0	0	1.1	6/5/2025	0	no			0	0	0	0	0	0	0	
304553	Madison	GA	Bostwick Gin Warehouse	Morgan               	4	Yes	0.022	3.5	2.25	5.25	0	0	0	5/1/2025	0	no			0	0	0	0	0	0	0	
306310	Enigma	GA	Dixon Gin Company	Berrien              	4	Yes	0.007	0	2.75	0	0	0	0.75	9/1/2025	0	no			0	0	0	0	0	0	0	
306316	Enigma 	GA	"South Central GA Warehouse, Inc."	Berrien              	4	Yes	0.022	3	3	5	0	0	0	9/1/2025	28	no			0	0	0	0	0	0	0	
308005	Norman Park	GA	Norman Park Gin and Warehouse	Colquitt             	4	Yes	0.0255	4	2.75	6	0	0	0	7/30/2025	0	no			0	0	0	0	0	0	0	
309100	Ocilla	GA	Osceola Cotton Company LLC E 1st st	Irwin                	4	Yes	0.023	3	3	5	0	0	0.5	3/4/2025	0	no			5	0	0.5	3	2.26	0	0	
309509	Omega 	GA	"Irwin County Warehouse, LLC- Omega"	Tift                 	4	Yes	0.027	3.5	3.5	5.5	0	0	1	7/8/2025	18	no			0	0	0	0	0	0	0	
310516	Ocilla 	GA	Osceola Cotton Warehouse	Irwin                	4	Yes	0.023	3	3	5	0	0	0.5	3/5/2025	13	no			5	0	0.5	3	2.26	0	0	
311000	Port Wentworth	GA	Savannah Distribution Center	Chatham              	1	Yes	0.0451	3	3	6	7	3.05	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
313010	Camilla	GA	Pinecliff Planters Warehouse	Mitchell             	4	Yes	0.025	3.5	2.5	5.5	0	0	1	7/21/2025	0	no			0	0	0	0	0	0	0	
313023	Pelham	GA	"The Southern Gin Co, Inc"	Baker                	4	Yes	0.026	4	2	6	0	0	1	9/1/2025	60	no			0	0	0	0	0	0	0	
313510	Pinehurst	GA	Planters Warehouse/Pinehurst	Dooly                	4	Yes	0.0105	0	4.25	0	0	0	1	7/23/2025	15	no			0	0	0	0	0	0	0	
314006	Pelham	GA	Pinecliff Peanut and Grain Inc	Mitchell             	4	Yes	0.025	3.5	2.5	5.5	0	0	1	7/21/2025	0	no			0	0	0	0	0	0	0	
316751	Rincon	GA	Supply chain Management-Rincon	Effingham            	4	Yes	0.0212	3	0.12	4	0	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
